year,school_operations,school_id
2022,4675846,80
2022,3834797,95
2022,5350975,96
2022,3733267,36
2022,3338049,49
2022,3810726,6930
2022,4823427,131
2022,3610851,135
2022,3614257,102
2022,5610632,54
2022,3375236,275
2022,4421471,340
2022,4025045,132
2022,2986090,27
2022,4743712,138
2022,6191511,78
2022,6943095,69
2022,4103489,38
2022,6293916,28
2022,5003456,44
2022,3345825,273
2022,3854248,316
2022,2768591,32
2022,4432603,64
2022,5589369,43
2022,4709044,37
2022,4915580,41
2022,4442863,336
2022,5129149,319
2022,3767769,118
2022,4481580,120
2022,4646086,121
2022,3581342,40
2022,2264487,564
2022,4214579,48
2022,5111423,100
2022,2602948,61
2022,3429112,81
2022,4299527,87
2022,4889840,74
2022,3991268,75
2022,8828221,99
2022,3715705,6963
2022,3615671,42
2022,3716096,261
