_id,School_Id,Org_Name,Telephone,Fax,Email,Contact1_Name,URL,Add1_Line1,Add1_Suburb,Add1_City,Add2_Line1,Add2_Suburb,Add2_City,Add2_Postal_Code,Urban_Rural_Indicator,Org_Type,Definition,Authority,School_Donations,CoEd_Status,KMEPeakBody,Takiwā,Territorial_Authority,Regional_Council,Local_Office_Name,Education_Region,General_Electorate,Māori_Electorate,Statistical_Area_2_Code,Statistical_Area_2_Description,Ward,Col_Id,Col_Name,Latitude,Longitude,Enrolment_Scheme,EQi_Index,Roll_Date,Total,European,Māori,Pacific,Asian,MELAA,Other,International,Isolation_Index,Language_of_Instruction,BoardingFacilities,CohortEntry,Status,DateSchoolOpened
1,1674,TKKM o Te Wananga Whare Tapere o Takitimu,06-8786340,06-8786330,"","",http://www.schoolground.co.nz/kuratakitimu ,106 Bennett Road ,Waipatu,Hastings,106 Bennett Road,"",Hastings,"",Rural other,Composite,"",State,Donations may be requested,"",Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,"",Hastings District,Hawke's Bay Region,Napier Office,"Hawke's Bay, Tairāwhiti",Tukituki,Ikaroa-Rāwhiti,"",Karamu,Heretaunga General Ward,"","",-39.619870,176.870381,No,518,2025-04-01T00:00:00,250,11,246,21,1,0,0,0,0.13,All students taught in te reo Māori,No,No,Open,1996-01-26T00:00:00
2,1688,Arohena School,07-8724526,07-8724527,"","",http://arohena.school.nz,40 Pukewhau Road ,"",Te Awamutu,40 Pukewhau Road,"",Te Awamutu,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",Ōtorohanga District,Waikato Region,Hamilton Office,Waikato,Taranaki-King Country,Te Tai Hauāuru,"",Puniu,Wharepuhunga General Ward,"","",-38.192977,175.615065,No,487,2025-04-01T00:00:00,31,20,7,0,5,0,0,0,1.29,All students taught in English,No,No,Open,1929-10-01T00:00:00
3,1698,Broadlands School,07-3338576,07-3338577,"","",http://www.broadlands.school.nz,2986 Broadlands Road ,"",Reporoa,2986 Broadlands Road,"",Reporoa,"",Rural other,Contributing,"",State,Donations may be requested,"","","",Rotorua District,Waikato Region,Rotorua Office,"Bay of Plenty, Waiariki",Rotorua,Waiariki,"",Golden Springs,Rotorua Rural General Ward,"","",-38.511393,176.332745,No,459,2025-04-01T00:00:00,119,85,44,6,3,3,2,0,0.94,All students taught in English,No,No,Open,1939-01-26T00:00:00
4,1701,Cambridge Middle School,07-8275135,07-8231328,"","",http://www.cms.school.nz,Clare Street ,"",Cambridge,Clare Street,"",Cambridge,"",Medium urban area,Restricted Composite (Year 7-10),"",State,Donations may be requested,"","","",Waipa District,Waikato Region,Hamilton Office,Waikato,Taupō,Hauraki-Waikato,"",Cambridge West,Cambridge General Ward,"","",-37.887159,175.462246,No,429,2025-04-01T00:00:00,658,549,105,20,70,24,4,0,0.33,All students taught in English,No,No,Open,1961-02-01T00:00:00
5,1708,David Henry School,07-8865234,07-8869034,"","",https://sites.google.com/view/davidhenryschool/home,Thompson Street ,"",Tokoroa,Thompson Street,"",Tokoroa,"",Medium urban area,Contributing,"",State,Donations may be requested,"","","",South Waikato District,Waikato Region,Hamilton Office,Waikato,Taupō,Te Tai Hauāuru,"",Matarawa,Tokoroa Ward,"","",-38.227335,175.854759,No,528,2025-04-01T00:00:00,150,50,85,63,5,0,1,0,0.87,All students taught in English,No,No,Open,1969-02-03T00:00:00
6,1713,Elstow-Waihou Combined School,07-8845802,07-8845803,"","",http://www.elstow-waihou.school.nz,356 Bowler Road ,"",Te Aroha,356 Bowler Road,"",Te Aroha,"",Rural other,Full Primary,"",State,Donations may be requested,"","","",Matamata-Piako District,Waikato Region,Hamilton Office,Waikato,Waikato,Hauraki-Waikato,"",Mangaiti,Te Aroha General Ward,"","",-37.523479,175.638269,No,456,2025-04-01T00:00:00,175,150,30,6,14,0,0,0,0.86,All students taught in English,No,No,Open,1903-01-26T00:00:00
7,1717,Fairhaven School,07-5738243,07-5738247,"","",http://www.fairhaven.school.nz/,120 Boucher Avenue ,"",Te Puke,120 Boucher Avenue,"",Te Puke,"",Small urban area,Contributing,"",State,Donations may be requested,"","","",Western Bay of Plenty District,Bay of Plenty Region,Rotorua Office,"Bay of Plenty, Waiariki",Rotorua,Waiariki,"",Te Puke South,Maketu-Te Puke Ward,"","",-37.796352,176.321030,No,453,2025-04-01T00:00:00,482,228,184,23,153,8,5,0,0.45,Some students taught in te reo Māori,No,No,Open,1957-02-01T00:00:00
8,1719,Firth School,07-8887396,07-8887391,"","",http://www.firth.school.nz,45 Station Road ,"",Matamata,45 Station Road,"",Matamata,"",Small urban area,Contributing,"",State,Donations may be requested,"","","",Matamata-Piako District,Waikato Region,Hamilton Office,Waikato,Waikato,Hauraki-Waikato,"",Matamata West,Matamata General Ward,"","",-37.817692,175.764422,No,509,2025-04-01T00:00:00,214,152,76,23,21,0,3,0,0.69,All students taught in English,No,No,Open,1963-01-26T00:00:00
9,1726,Goldfields School (Paeroa),07-8627172,"","","",http://www.gfs.school.nz,55 Norwood Road ,"",Paeroa,55 Norwood Road,"",Paeroa,"",Small urban area,Specialist School,Day Specialist,State,Donations may be requested,"","","",Hauraki District,Waikato Region,Hamilton Office,Waikato,Coromandel,Hauraki-Waikato,"",Paeroa,Paeroa Ward,"","",-37.370573,175.674414,No,517,2025-04-01T00:00:00,88,57,37,8,7,0,1,0,1.13,All students taught in English,No,No,Open,1965-02-03T00:00:00
10,1729,Greenpark School (Tauranga),07-5410606,07-5410607,"","",http://www.greenparkschool.co.nz,13 Lumsden Street ,Greerton,Tauranga,13 Lumsden Street,"",Tauranga,"",Major urban area,Contributing,"",State,Donations may be requested,"","","",Tauranga City,Bay of Plenty Region,Rotorua Office,"Bay of Plenty, Waiariki",Tauranga,Waiariki,"",Greerton North,Tauriko General Ward,"","",-37.732545,176.127532,No,440,2025-04-01T00:00:00,646,408,130,35,183,19,2,17,0.16,All students taught in English,No,No,Open,1957-02-04T00:00:00
